Date,Open,High,Low,Close,Volume,Market Cap
"May 07, 2017",0.002582,0.002811,0.002241,0.002518,"6,525,370","66,368,200"
"May 06, 2017",0.00207,0.002593,0.002041,0.002593,"7,121,880","53,113,900"
"May 05, 2017",0.001545,0.002134,0.001545,0.002055,"6,703,420","39,612,000"
"May 04, 2017",0.001241,0.001541,0.001214,0.001541,"2,074,110","31,790,000"
"May 03, 2017",0.001238,0.001272,0.001191,0.001234,"883,880","31,669,100"
"May 02, 2017",0.001174,0.001281,0.00102,0.001247,"1,487,720","29,994,700"
"May 01, 2017",0.00124,0.001268,0.001053,0.001165,"1,915,370","31,637,600"
"Apr 30, 2017",0.000962,0.001294,0.000955,0.001248,"4,064,720","24,511,100"
"Apr 29, 2017",0.000906,0.000977,0.000902,0.000968,"675,803","23,066,000"
"Apr 28, 2017",0.000846,0.000919,0.000846,0.000906,"517,982","21,524,300"
"Apr 27, 2017",0.000837,0.000878,0.000825,0.00085,"426,860","21,264,200"
"Apr 26, 2017",0.000881,0.000883,0.000831,0.000837,"364,932","22,364,100"
"Apr 25, 2017",0.000782,0.000881,0.000774,0.000881,"706,869","19,819,500"
"Apr 24, 2017",0.000764,0.000787,0.000725,0.000782,"444,681","19,358,900"
"Apr 23, 2017",0.000778,0.000796,0.00074,0.00076,"233,284","19,690,100"
"Apr 22, 2017",0.000802,0.000819,0.000776,0.000786,"194,027","20,273,600"
"Apr 21, 2017",0.000784,0.00081,0.000736,0.000804,"366,117","19,788,400"
"Apr 20, 2017",0.000798,0.000841,0.000737,0.000776,"615,063","20,113,100"
"Apr 19, 2017",0.000873,0.000876,0.000786,0.000798,"647,432","21,973,600"
"Apr 18, 2017",0.000906,0.000906,0.000815,0.000861,"623,452","22,765,800"
"Apr 17, 2017",0.000876,0.000925,0.000833,0.000896,"763,858","21,997,000"
"Apr 16, 2017",0.000851,0.000888,0.000842,0.000878,"290,129","21,332,300"
"Apr 15, 2017",0.000852,0.000881,0.000822,0.00085,"406,976","21,337,800"
"Apr 14, 2017",0.000824,0.000906,0.000819,0.000849,"793,089","20,603,600"
"Apr 13, 2017",0.000841,0.000862,0.000801,0.000824,"478,334","21,001,500"
"Apr 12, 2017",0.000855,0.00092,0.000772,0.000841,"1,726,060","21,322,400"
"Apr 11, 2017",0.000614,0.000926,0.000608,0.000865,"4,743,150","15,289,000"
"Apr 10, 2017",0.000597,0.000627,0.000583,0.000613,"98,485","14,857,800"
"Apr 09, 2017",0.000589,0.000643,0.000578,0.000588,"228,646","14,658,700"
